customer_id,customer_name,email,phone,registration_date,customer_segment,country,city,postal_code,lifetime_value
CUST_0001,Jessica Brown,jessica.brown41@gmail.com,+1-555-833-7628,2022.11.07,VIP,UK,London,SW1A 1AA,9701.206759874469
CUST_0002,  William Johnson ,william.johnson16@gmail.com,,01/29/2022,Retail,UK,Manchester,M1 1AE,7303.548263226918
CUST_0003,Robert Rodriguez,robert.rodriguez6@gmail.com,5552034602,2023-08-18,Wholesale,USA,Chicago,,9233.777195230183
CUST_0004,David Miller,david.miller17@gmail.com,(555) 851-5395,2022.06.14,Retail,USA,New York,10001,7645.899377310353
CUST_0005,  John Williams ,john.williams74@gmail.com,,19-Mar-2022,VIP,France,Lyon,69001,5957.997992034764
CUST_0006,Michael Brown,michael.brown27@gmail.com,5552754335,2021-07-04,Retail,France,Lyon,69001,2001.031354449811
CUST_0007,  Sarah Miller ,sarah.miller84@gmail.com,,2023.08.24,Retail,UK,Manchester,M1 1AE,6700.187953735879
CUST_0008,Ashley Davis,ashley.davis21@gmail.com,+1-555-822-5718,2022-03-30,Corporate,USA,Chicago,60601,6271.45770300308
CUST_0009,Michael Garcia,michael.garcia12@gmail.com,5558511050,01/25/2021,Corporate,USA,Los Angeles,90001,6064.444787526938
CUST_0010,  Michael Johnson ,michael.johnson72@gmail.com,5551964032,12-Dec-2022,Retail,France,Paris,75001,4948.880093083583
CUST_0011,Jessica Garcia,JESSICA.GARCIA33@GMAIL.COM,(555) 615-8811,07/31/2021,Retail,USA,Chicago,60601,5333.700379493828
CUST_0012,Michael Garcia,michael.garcia97@gmail.com,+1-555-856-6002,31-Jan-2022,Retail,USA,Los Angeles,90001,3410.98101846923
CUST_0013,John Smith,john.smith5@gmail.com,5559734909,05-Aug-2022,Retail,USA,New York,10001,5241.195657158802
CUST_0014,Jessica Jones,jessica.jones11@gmail.com,555-274-6162,15-Nov-2022,Retail,Canada,Toronto,,2055.803466216935
CUST_0015,Emily Williams,emily.williams16@gmail.com,5557972137,2021.06.26,Retail,France,Lyon,,8071.22653386773
CUST_0016,Ashley Williams,ASHLEY.WILLIAMS65@GMAIL.COM,,2021-10-07,Retail,Germany,Berlin,10115,1939.1918515172074
CUST_0017,Jessica Johnson,jessica.johnson39@gmail.com,(555) 440-8458,03-Feb-2023,Retail,Germany,Berlin,10115,941.1662699057175
CUST_0018,Michael Martinez,michael.martinez47@gmail.com,555-245-1208,2022-11-28,Wholesale,USA,Los Angeles,,4418.835660935858
CUST_0019,Robert Miller,,+1-555-782-8775,2022-07-31,VIP,UK,London,SW1A 1AA,6617.243651110012
CUST_0020,Robert Miller,robert.miller22@gmail.com,,27-Feb-2023,Wholesale,UK,London,SW1A 1AA,4433.39656684206
CUST_0021,Jessica Miller,jessica.miller55@gmail.com,555-121-3908,2021.06.09,Retail,UK,London,SW1A 1AA,2839.8659063179553
CUST_0022,Café User,john.smith85@gmail.com,555-370-2261,19-Oct-2022,Retail,UK,Manchester,M1 1AE,5625.894720515364
CUST_0023,William Brown,william.brown1@gmail.com,+1-555-274-1159,16-Feb-2022,VIP,UK,Manchester,M1 1AE,3535.3231205807792
CUST_0024,Sarah Smith,sarah.smith32@gmail.com,,2022-08-12,Retail,Germany,Berlin,10115,9335.390132253668
CUST_0025,Sarah Rodriguez,,+1-555-585-1016,2023.03.12,Retail,France,Lyon,69001,9234.186882075364
CUST_0026,Emily Smith,,555-600-5055,2023.04.01,Wholesale,USA,Chicago,60601,5073.481017723745
CUST_0027,John Brown,john.brown67@gmail.com,+1-555-583-2792,2021.07.22,Wholesale,France,Lyon,69001,3346.0515407807593
CUST_0028,Emily Garcia,emily.garcia38@gmail.com,+1-555-146-1284,04-Jun-2021,Wholesale,UK,London,SW1A 1AA,7397.610898170727
