sales_rep_id,rep_name,hire_date,department,territory,commission_rate,email
REP_001,Jane Smith,2022-02-06,SMB,Asia-Pacific,0.11420316461542877,jane.smith@company.com
REP_002,David Brown,2020-06-07,Direct Sales,Latin America,0.058413996499504885,david.brown@company.com
REP_003,Emily Williams,2022-08-05,Enterprise,Asia-Pacific,0.06616287140946138,emily.williams@company.com
REP_004,Jane Rodriguez,2022-08-10,SMB,North America,0.1398554188527079,jane.rodriguez@company.com
REP_005,Jane Martinez,2020-08-30,SMB,Latin America,0.110642905965959,jane.martinez@company.com
REP_006,Robert Smith,2022-06-04,Direct Sales,North America,0.05091970516166297,robert.smith@company.com
REP_007,John Johnson,2020-06-15,Enterprise,Latin America,-0.1,john.johnson@company.com
REP_008,Emily Brown,2022-09-26,Enterprise,Latin America,0.11635017691080558,emily.brown@company.com
REP_009,William Martinez,2022-03-30,SMB,Europe,0.05050615838462187,william.martinez@company.com
REP_010,John Rodriguez,2022-04-10,Mid-Market,North America,0.06608080514174987,john.rodriguez@company.com
REP_011,Emily Rodriguez,2020-06-30,SMB,Asia-Pacific,0.1048733789366586,emily.rodriguez@company.com
REP_012,Robert Brown,2022-06-21,SMB,Asia-Pacific,0.11918951976926932,robert.brown@company.com
REP_013,Jessica Martinez,2021-02-26,SMB,North America,1.5,jessica.martinez@company.com
REP_014,David Smith,2020-01-26,SMB,Asia-Pacific,0.07242693094605598,david.smith@company.com
REP_015,Michael Miller,2020-07-02,Direct Sales,Asia-Pacific,0.12121792213475359,michael.miller@company.com
REP_016,Sarah Jones,2022-01-24,Enterprise,North America,1.5,sarah.jones@company.com
REP_017,Michael Brown,2022-08-04,Direct Sales,Latin America,0.08253996981592678,michael.brown@company.com
REP_018,Sarah Johnson,2020-12-06,Direct Sales,North America,1.5,sarah.johnson@company.com
REP_019,Jane Miller,2022-03-12,Direct Sales,Latin America,0.11496328990472146,jane.miller@company.com
REP_020,Jane Garcia,2022-08-11,SMB,Asia-Pacific,0.1349223410494178,jane.garcia@company.com
REP_021,Sarah Martinez,2021-02-25,Mid-Market,Asia-Pacific,0.11576128923003433,sarah.martinez@company.com
REP_022,David Smith,2022-04-01,Enterprise,Asia-Pacific,0.10683086033354716,david.smith@company.com
REP_023,Jessica Rodriguez,2021-11-16,Mid-Market,Europe,0.05936747678280925,jessica.rodriguez@company.com
REP_024,Jane Miller,2022-06-03,Direct Sales,Latin America,0.08677158030594335,jane.miller@company.com
REP_025,Jane Rodriguez,2022-01-22,Direct Sales,Europe,0.07652023676817254,jane.rodriguez@company.com
REP_026,David Martinez,2022-04-10,Mid-Market,Europe,0.07439896433790835,david.martinez@company.com
